freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
5,3065049E+003	1,5248087E+003	2,6094492E+002
5,1831006E+003	1,5277260E+003	2,5681601E+002
5,0666182E+003	1,5309325E+003	2,5183519E+002
4,9515815E+003	1,5329292E+003	2,4756906E+002
4,8384517E+003	1,5359718E+003	2,4303874E+002
4,7284888E+003	1,5381415E+003	2,3953781E+002
4,6185254E+003	1,5410607E+003	2,3414616E+002
4,5135542E+003	1,5420020E+003	2,3089828E+002
4,4114141E+003	1,5441752E+003	2,2685056E+002
4,3113828E+003	1,5469761E+003	2,2253679E+002
4,2136533E+003	1,5485896E+003	2,1862785E+002
4,1163193E+003	1,5498531E+003	2,1504778E+002
4,0237158E+003	1,5518364E+003	2,1143185E+002
3,9312617E+003	1,5532145E+003	2,0745877E+002
3,8512349E+003	1,5555930E+003	2,0502399E+002
3,7537961E+003	1,5563361E+003	2,0058543E+002
3,6688223E+003	1,5586652E+003	1,9803351E+002
3,5838560E+003	1,5603640E+003	1,9360928E+002
3,5038813E+003	1,5612527E+003	1,9109532E+002
3,4239070E+003	1,5625161E+003	1,8770937E+002
3,3460706E+003	1,5637404E+003	1,8426784E+002
3,2689570E+003	1,5652529E+003	1,8175363E+002
3,1939746E+003	1,5665247E+003	1,7862122E+002
3,1209961E+003	1,5679076E+003	1,7633115E+002
3,0509756E+003	1,5689451E+003	1,7275000E+002
2,9809548E+003	1,5692180E+003	1,7063187E+002
2,9122009E+003	1,5708247E+003	1,6797862E+002
2,8459131E+003	1,5718929E+003	1,6571481E+002
2,7808918E+003	1,5725396E+003	1,6321841E+002
2,7191267E+003	1,5736638E+003	1,6095456E+002
2,6558489E+003	1,5739277E+003	1,5809125E+002
2,5958269E+003	1,5751923E+003	1,5557225E+002
2,5374368E+003	1,5764756E+003	1,5416286E+002
2,4792031E+003	1,5764973E+003	1,5155859E+002
2,4223252E+003	1,5777034E+003	1,5001483E+002
2,3672729E+003	1,5779027E+003	1,4714319E+002
2,3127795E+003	1,5788398E+003	1,4578560E+002
2,2607222E+003	1,5786791E+003	1,4393564E+002
2,2092908E+003	1,5795554E+003	1,4184686E+002
2,1579265E+003	1,5807393E+003	1,4112321E+002
2,1093264E+003	1,5816273E+003	1,3851678E+002
2,0606592E+003	1,5821700E+003	1,3738979E+002
2,0143539E+003	1,5818948E+003	1,3630981E+002
1,9681082E+003	1,5827972E+003	1,3418927E+002
1,9231514E+003	1,5830381E+003	1,3320041E+002
1,8794015E+003	1,5834548E+003	1,3219376E+002
1,8367618E+003	1,5841169E+003	1,3070958E+002
1,7944276E+003	1,5848455E+003	1,2944843E+002
1,7544403E+003	1,5846943E+003	1,2853940E+002
1,7144531E+003	1,5849767E+003	1,2818948E+002
1,6744658E+003	1,5850874E+003	1,2686827E+002
1,6365721E+003	1,5860945E+003	1,2549318E+002
1,5994906E+003	1,5860946E+003	1,2473946E+002
1,5634969E+003	1,5867220E+003	1,2448072E+002
1,5274435E+003	1,5870269E+003	1,2391544E+002
1,4926121E+003	1,5873251E+003	1,2323705E+002
1,4586002E+003	1,5872413E+003	1,2224168E+002
1,4254525E+003	1,5871243E+003	1,2211841E+002
1,3927743E+003	1,5876895E+003	1,2157169E+002
1,3613104E+003	1,5886007E+003	1,2210826E+002
1,3304279E+003	1,5884768E+003	1,2146944E+002
1,2995824E+003	1,5882677E+003	1,2092148E+002
1,2704060E+003	1,5890747E+003	1,2049741E+002
1,2411923E+003	1,5891243E+003	1,1984492E+002
